description,id,protected,url,public_metrics,verified,pinned_tweet_id,username,location,name,profile_image_url,created_at,withheld
drug_girl is here! Let's have fun @chaturbate 😍,1530959117325844480,False,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 28, 'listed_count': 0}",False,,druggirl8,,drug_girl,https://pbs.twimg.com/profile_images/1530959510378258432/lrlz5MiV_normal.jpg,2022-05-29T17:08:04.000Z,
パリRestaurant PAGES ミシュラン1つ星🌟料理長👨🏻‍🍳 /フランスの食材で作る料理動画をYouTube で紹介しています↓↓ /2008年から在仏🇫🇷/パリ在住/埼玉県出身/川越高校→立教大学卒の料理人/,1280422053351489537,False,https://t.co/fiATcVJxu0,"{'followers_count': 1053, 'following_count': 460, 'tweet_count': 1105, 'listed_count': 9}",False,1.41125003984282e+18,kenichiskitchen,"Paris, France",半田健一,https://pbs.twimg.com/profile_images/1280422727061512194/5QzA8tME_normal.jpg,2020-07-07T08:43:18.000Z,
"Conçu sous Pompidou, né sous Giscard, grandissant sous Mitterrand, Citoyen sous Chirac, depuis je balotte de Gauche a Droite sans y trouver ma place .. #France",1479015701113364483,False,,"{'followers_count': 69, 'following_count': 579, 'tweet_count': 7628, 'listed_count': 1}",False,,franckelivon,"Saint-Paul, La Réunion",FCE,https://pbs.twimg.com/profile_images/1520349948440719361/Ae0GH8EA_normal.jpg,2022-01-06T09:03:58.000Z,
"Le Paris d'antan par les cartes postales du début du XXe siècle (entre 1900 et 1914 généralement), par @cartorum
✏ Corrections sur les pages en lien.",1405930262651932674,False,https://t.co/RMXvNCxYyV,"{'followers_count': 642, 'following_count': 42, 'tweet_count': 10978, 'listed_count': 5}",False,,ParisAntan,"Paris, Frankreich",Paris d'autrefois,https://pbs.twimg.com/profile_images/1405932282439929862/xx65L9q7_normal.jpg,2021-06-18T16:48:14.000Z,
♥️,1520541468808646657,False,,"{'followers_count': 1, 'following_count': 6, 'tweet_count': 28, 'listed_count': 0}",False,,biza_omer,,Biza Omer,https://pbs.twimg.com/profile_images/1536028974119370757/aVLMqre9_normal.jpg,2022-04-30T23:12:00.000Z,
"Prof., University of Paris, Dept. Infectious Diseases, Saint-Louis and Lariboisière Hospitals, AP-HP.  HIV and now COVID-19",757201003464757248,False,,"{'followers_count': 1757, 'following_count': 706, 'tweet_count': 297, 'listed_count': 17}",False,,jmmolinaparis,"Paris, Frankreich",Jean-michel Molina,https://pbs.twimg.com/profile_images/1389250428886528003/532Mz9oL_normal.jpg,2016-07-24T13:09:22.000Z,
,1519342936634372098,False,,"{'followers_count': 4, 'following_count': 17, 'tweet_count': 516, 'listed_count': 0}",False,,deva_ramkelawan,,Deva Ramkelawan,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2022-04-27T15:50:51.000Z,
,1258375947524456448,False,,"{'followers_count': 86, 'following_count': 33, 'tweet_count': 498, 'listed_count': 0}",False,,ERICBIDAULT1,,ERIC BIDAULT,https://pbs.twimg.com/profile_images/1258376265909899264/D5Zy2Zf8_normal.jpg,2020-05-07T12:39:55.000Z,
"Passionné de sport et de musique ""Le sport ne forge pas le caractère. Il le révèle."" Heywood Hale Broun /""Sans la musique , la vie serait une erreur "" Nietzsche",1121494441892765696,False,,"{'followers_count': 29, 'following_count': 332, 'tweet_count': 8613, 'listed_count': 0}",False,,BelenusMarc,,Belenus Marc,https://pbs.twimg.com/profile_images/1481381647668887553/a_x0ieF__normal.jpg,2019-04-25T19:21:26.000Z,
"Tweeting about the actual waiting time and which attraction is interrupted in Disneyland Paris.

Not allied to the Disney company.",791590844050599936,False,https://t.co/LpG45zd77d,"{'followers_count': 2796, 'following_count': 42, 'tweet_count': 138077, 'listed_count': 20}",False,1.4769990503313695e+18,DlpStats,"Marne-la-Vallée, France",DLP Stats,https://pbs.twimg.com/profile_images/1239268823301324807/teASgU5A_normal.jpg,2016-10-27T10:42:19.000Z,
"Free online radio playing jazz from the past 100 years. Every decade, every style from the 20’s to the 20’s",1489236832634167297,False,https://t.co/T5a37uwZ64,"{'followers_count': 29, 'following_count': 65, 'tweet_count': 2644, 'listed_count': 1}",False,,thejazzcentury,"Milwaukee, WI",theJazzCentury.com,https://pbs.twimg.com/profile_images/1489237071944425476/DaGGfbzF_normal.jpg,2022-02-03T13:58:38.000Z,
"♂️🦓🏳️‍🌈▫️♈ asc. ♏ né sous Pompidou ▫️''Étudiez l'Histoire, c'est dans l'Histoire que résident tous les secrets de l'art de gouverner.'' Winston Churchill",1338191723789475841,False,,"{'followers_count': 969, 'following_count': 1208, 'tweet_count': 10927, 'listed_count': 1}",False,1.5359525174394102e+18,EGobillard,👑Cité des Sacres▫️🥂Champagne,Éric Gobillard 🇫🇷🇪🇺,https://pbs.twimg.com/profile_images/1532068636122292224/BXNjK2pm_normal.jpg,2020-12-13T18:39:49.000Z,
"selbstdenkend * liberal * kritisch 

#Frieden #Freiheit #Grundrechte 
#HumanRights #EndAllMandates",1417414352999796743,False,,"{'followers_count': 4211, 'following_count': 3782, 'tweet_count': 9589, 'listed_count': 4}",False,1.5331682102451446e+18,doxograf,,Doxograf🕊️🗽🛡️,https://pbs.twimg.com/profile_images/1468977874610831362/iKsni6yt_normal.jpg,2021-07-20T09:22:24.000Z,
Adoro el mundo de la moda,1472160782620274690,False,,"{'followers_count': 0, 'following_count': 2, 'tweet_count': 134, 'listed_count': 0}",False,,Ultimate_Trend,,Ultimate,https://pbs.twimg.com/profile_images/1472161105808080910/lDxiJL7E_normal.jpg,2021-12-18T11:04:30.000Z,
Soy mexicano 🇲🇽 y uruguayo🇺🇾. Madridista 🤍 e hincha de los Pumas de la UNAM💙💛 y de Defensor 💜. Leones de Yucatán y Dodgers en Béisbol.,214942445,False,,"{'followers_count': 409, 'following_count': 1335, 'tweet_count': 8404, 'listed_count': 1}",False,,mecaigoalmar,Montevideo,Roger Gutiérrez Díaz,https://pbs.twimg.com/profile_images/1486719079759048707/2gii-I5p_normal.jpg,2010-11-12T16:21:21.000Z,
"Happily Married, Retired USAF Combat Aviation Advisor & combat Veteran, living in Stuttgart, Germany. No party affiliation. #CAA181",890237098652991488,False,,"{'followers_count': 156, 'following_count': 120, 'tweet_count': 4231, 'listed_count': 10}",False,1.4619513893331804e+18,CDintheEU,"Stuttgart, Germany",Chad D,https://pbs.twimg.com/profile_images/1485995379829186565/syA0H3uF_normal.jpg,2017-07-26T15:47:18.000Z,
"Là où se trouve une volonté, il existe un chemin.. W.CHURCHIL #CitoyenneduMonde PAIX, JUSTICE, FRATERNITÉ #Politique #Culture #Histoire #Humour ♥️🇩🇿 🇩🇿🇩🇿",1062802978749464577,False,,"{'followers_count': 11354, 'following_count': 3138, 'tweet_count': 51478, 'listed_count': 13}",False,1.3511144072381194e+18,HouyemMe,France,Houyem MENAGER هيام,https://pbs.twimg.com/profile_images/1509227000652865548/HNp8mgPi_normal.jpg,2018-11-14T20:22:30.000Z,
We offer reliable academic writing services at an affordable rates. 24/7 availability.,1522684042071711745,False,,"{'followers_count': 88, 'following_count': 69, 'tweet_count': 1711, 'listed_count': 0}",False,1.5310257034493788e+18,ExpertW91914771,"California, USA",Expert Writers,https://pbs.twimg.com/profile_images/1522687443417370631/Y2Nsi74N_normal.jpg,2022-05-06T21:06:03.000Z,
Official Chillaxation Internet Radio Station,825790602830815233,False,https://t.co/K5QCdZ9KwL,"{'followers_count': 462, 'following_count': 367, 'tweet_count': 86224, 'listed_count': 9}",False,1.238626541317378e+18,smoothjazznola,"New Orleans, LA",SmoothJazzNola,https://pbs.twimg.com/profile_images/1513479307703767040/TquE0NFO_normal.jpg,2017-01-29T19:39:56.000Z,
"#24/7 Retrouvez vos #radios #raplocal

#radio75 : de 18h à 6h 

#xv3radio : de 6h à 18h",971844112575057920,False,https://t.co/PbqwYIr97H,"{'followers_count': 102, 'following_count': 583, 'tweet_count': 45161, 'listed_count': 0}",False,,Xv3Radio75,"Paris, France",Radio75.org // Xv3radio18.com,https://pbs.twimg.com/profile_images/1019902033762115584/1FvqrQvN_normal.jpg,2018-03-08T20:24:27.000Z,
24/7 Streaming radio station. Hot music from Chicago’s musicians & DJ’s also playing music from musicians & DJ’s from Chicago’s global 29 sister cities,1022584389904084993,False,https://t.co/C27UD5lHEH,"{'followers_count': 683, 'following_count': 154, 'tweet_count': 3164, 'listed_count': 2}",False,1.5306272969352645e+18,ChiSizzleRadio,200 e Randolph street Chicago,Chicago Sizzle Radio,https://pbs.twimg.com/profile_images/1423557395721162757/JvVAi2qp_normal.jpg,2018-07-26T20:48:12.000Z,
Passer vos commandes Pure thc 🌱 fumé n'est pas tué légaliser la weed 🌱 WhatsApp 👉+33 7 54 26 99 33 🇨🇵 #Toulouse #Bordeaux #Nantes #Marseille #Paris #France,1536032286684106753,False,https://t.co/AKOkMq2L7d,"{'followers_count': 1, 'following_count': 23, 'tweet_count': 5, 'listed_count': 0}",False,,CaliWee37798298,"Ile-de-France, Frankreich",Cali Weed 🌱,https://pbs.twimg.com/profile_images/1536033368533610496/Hi83a5af_normal.jpg,2022-06-12T17:07:02.000Z,
"Magister Juris
Je jump, je jump mais tel le T-800: ""Ill be back"".
Je place ma confiance en la Science car seule Elle permet de comprendre l'Univers.",1502621649962688516,False,,"{'followers_count': 9, 'following_count': 93, 'tweet_count': 780, 'listed_count': 0}",False,,Samus_D_Ripley,,Samus_D_Ripley,https://pbs.twimg.com/profile_images/1502621775028498433/JHw6Luk1_normal.jpg,2022-03-12T12:24:59.000Z,
Ad oculos,1936604210,False,https://t.co/yJ0h2Ih3v4,"{'followers_count': 652, 'following_count': 2051, 'tweet_count': 18295, 'listed_count': 15}",False,8.205497192439521e+17,EdHautacam,"Lourdes, 福岡県",Etienne d'Hautacam,https://pbs.twimg.com/profile_images/1256227132877033474/b_VpzC7V_normal.jpg,2013-10-05T05:55:09.000Z,
Photography*Art Deco News Saint-Tropez*BIPHOTONEWS events directly from Saint-Tropez,367544549,False,https://t.co/udkHtVy63M,"{'followers_count': 426, 'following_count': 1975, 'tweet_count': 10698, 'listed_count': 11}",False,1.338651993972355e+18,biphotoHU,"Saint Tropez, France",Ilona Barna BIPHOTONEWS,https://pbs.twimg.com/profile_images/1533628285208477697/-QGMyOD8_normal.jpg,2011-09-04T04:18:13.000Z,
世界各地のニュースをまとめて発信します For Japanese and Japanese learners English→@world_news_eng,1220711048149291008,False,,"{'followers_count': 381, 'following_count': 29, 'tweet_count': 175697, 'listed_count': 12}",False,,world_news_ja,,World ニュース,https://pbs.twimg.com/profile_images/1220711672194535424/2faeq4Mj_normal.jpg,2020-01-24T14:13:54.000Z,
Living life in 3rd world 3D at the intersection of excellence & pointlessness | #MTFA,26406149,False,,"{'followers_count': 397, 'following_count': 273, 'tweet_count': 41039, 'listed_count': 7}",False,1.4059470880898007e+18,basskick,"Karachi, Pakistan",BassQuiat,https://pbs.twimg.com/profile_images/1105432997581471745/1mS7CTrc_normal.jpg,2009-03-25T02:34:50.000Z,
simoncouple1 here! let's have fun @chaturbate 😍😍,1530939532908150785,False,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 27, 'listed_count': 0}",False,,simoncouple11,,simoncouple1,https://pbs.twimg.com/profile_images/1530939838328889352/5QZygVlz_normal.jpg,2022-05-29T15:50:12.000Z,
Actualités des transports de Paris: #RATP #RER #Transilien #SNCF #Paris,1287483433023942661,False,,"{'followers_count': 41, 'following_count': 138, 'tweet_count': 7760, 'listed_count': 2}",False,,MyTransitParis,"Paris, France",MyTransit Paris,https://pbs.twimg.com/profile_images/1287486437936570378/cG8IV2sQ_normal.jpg,2020-07-26T20:22:44.000Z,
"🎨 artist
👽 watcher
🗻 climber
🌲nature lover",1192643174218510336,False,https://t.co/ILJ92QsncE,"{'followers_count': 2470, 'following_count': 696, 'tweet_count': 113053, 'listed_count': 28}",False,1.5293586734322606e+18,artemalvac,"Quito, Ecuador",ｍａｌｖａｃ,https://pbs.twimg.com/profile_images/1269687121855631361/TWo3jaky_normal.jpg,2019-11-08T03:21:20.000Z,
Ici en tant que moi même n'en déplaise à mon employeur...je parle de politique et de tout ce qui me plaît ...ou pas !,386699942,False,,"{'followers_count': 2322, 'following_count': 2119, 'tweet_count': 22665, 'listed_count': 106}",False,1.353084951382655e+18,maliteo63,,Serge Cimino,https://pbs.twimg.com/profile_images/1523053499965136897/sTSUy7qm_normal.jpg,2011-10-07T18:52:18.000Z,
,1531190970120806400,False,,"{'followers_count': 2, 'following_count': 3, 'tweet_count': 2, 'listed_count': 0}",False,,ArtistJoa,,Artist.JOA,https://pbs.twimg.com/profile_images/1531211533757423618/ZnjGLgmP_normal.jpg,2022-05-30T08:29:20.000Z,
"The strong survive, but the courageous triumph 🇮🇪 Self proclaimed inventor - Product Design Engineer with an MSc in Biomedical Engineering",304148106,False,,"{'followers_count': 318, 'following_count': 326, 'tweet_count': 3359, 'listed_count': 14}",False,,DonCorleireland,Republic of Ireland,The Don Corleireland 🇮🇪,https://pbs.twimg.com/profile_images/1321954323744595974/PLiToe6x_normal.jpg,2011-05-24T01:03:31.000Z,
Owner THEnergy—#RenewableEnergy #eMobility—#Microgrids #ElectricVehicles #EnergyStorage—#GreenHydrogen #Hydrogen—👊 #ClimateCrisis—#Energy—@ #PS22 #EVS35 #HM22,2823694738,False,https://t.co/bPHDRUbRAk,"{'followers_count': 54410, 'following_count': 59851, 'tweet_count': 14618, 'listed_count': 729}",False,1.534767207569412e+18,THEnergyNet,Muenchen / Munich - Germany,Dr Thomas Hillig • #EUSEW2022 Ambass.—#EVS35 #HM22,https://pbs.twimg.com/profile_images/569870684499607552/jVQdvDeG_normal.png,2014-10-11T21:04:18.000Z,
"Si vis pacem, para bellum

🇺🇦Stand With Ukraine🇺🇦",1193929980952100864,False,,"{'followers_count': 69, 'following_count': 143, 'tweet_count': 1767, 'listed_count': 1}",False,,L0gic_karma,France,🇫🇷 Logic Karma 🇺🇦,https://pbs.twimg.com/profile_images/1505145257310232577/QJkFthts_normal.jpg,2019-11-11T16:34:41.000Z,
,1352574787827232768,False,,"{'followers_count': 22, 'following_count': 141, 'tweet_count': 3536, 'listed_count': 0}",False,1.5130346953108234e+18,Forza22064692,,Venom,https://pbs.twimg.com/profile_images/1513179832791846918/4lNhR9WI_normal.jpg,2021-01-22T11:12:26.000Z,
"🌍 The French international news channel live 24/7 from Paris - Follow us for top stories on #business, #politics and #sports - 🔴 Breaking Alerts: @BreakingF24",25049056,False,https://t.co/oTnhiU3gil,"{'followers_count': 338711, 'following_count': 1123, 'tweet_count': 325331, 'listed_count': 6282}",True,1.5360312467651297e+18,France24_en,"Paris, France",FRANCE 24 English,https://pbs.twimg.com/profile_images/875653339530182656/LJAMkNY5_normal.jpg,2009-03-18T09:22:54.000Z,
"In progress, always! 😇",103915548,False,https://t.co/f3w1F3UQg5,"{'followers_count': 304, 'following_count': 272, 'tweet_count': 35523, 'listed_count': 40}",False,,Occitania32,"Arizona, USA",Nicole L,https://pbs.twimg.com/profile_images/1292186000911826944/C__MWrWe_normal.jpg,2010-01-11T17:28:26.000Z,
Shitposter assumé.,985332728,False,,"{'followers_count': 896, 'following_count': 2343, 'tweet_count': 7049, 'listed_count': 31}",False,1.175092207478608e+18,Tan__Tris,"Pantin, France",Tantris 🇺🇦,https://pbs.twimg.com/profile_images/1496936749133615109/RbQiNJBI_normal.jpg,2012-12-02T20:30:45.000Z,
"🇪🇸Voto a @vox_es. Andaluz expatriado en 🇫🇷. https://t.co/FrmlB098tV.
💚 https://t.co/hoXkChQUzh. Proenergía nuclear: https://t.co/LcxRlJ9uLD",987691995794681856,False,https://t.co/FlV8ayaSjQ,"{'followers_count': 552, 'following_count': 893, 'tweet_count': 15996, 'listed_count': 3}",False,1.1927384457618885e+18,PadelAntonio,"💚 Caza, Pesca y los Toros",Padel 🇪🇸 #SanchezDimision #SoloQuedaVOX,https://pbs.twimg.com/profile_images/1462348438100713481/c2u8QA8M_normal.jpg,2018-04-21T13:58:17.000Z,
"●Artist Management |●Music Production
 ●Branding | ●Events Management",1343615203217432577,False,,"{'followers_count': 1366, 'following_count': 165, 'tweet_count': 3835, 'listed_count': 0}",False,1.3790752902242836e+18,Fugi_ENT,🇿🇦ZA 🇿🇦,Fugi Entertainment,https://pbs.twimg.com/profile_images/1452980812677324813/bZqWm6cZ_normal.jpg,2020-12-28T17:50:47.000Z,
j’ai pas de vie,1162809018064261120,False,,"{'followers_count': 24, 'following_count': 102, 'tweet_count': 922, 'listed_count': 0}",False,,dreymaury,"La Rochelle, France",drey,https://pbs.twimg.com/profile_images/1525804555631480833/lcD88ANt_normal.jpg,2019-08-17T19:31:23.000Z,
Addicted to music. In love with Dave Pen's voice.,593847304,False,,"{'followers_count': 49, 'following_count': 46, 'tweet_count': 3646, 'listed_count': 2}",False,,EmilieCOSNEFROY,Somewhere,I Am Only Emily,https://pbs.twimg.com/profile_images/2602924323/oe0opwyh7zn1qv9iepdm_normal.jpeg,2012-05-29T16:30:51.000Z,
,994516170375159808,False,https://t.co/wqyQeBXxVW,"{'followers_count': 101, 'following_count': 228, 'tweet_count': 2736, 'listed_count': 0}",False,,paweljetlogic,Edinburgh,Pawel Slotwinski,https://pbs.twimg.com/profile_images/1164829976736067585/-5JEQZsL_normal.jpg,2018-05-10T09:55:07.000Z,
#traveller & enjoyment guru passion for #culture #Arts #food aspiring #PhD candidate & say it like it is expert. #equality #lgbt #gay #thegreatclive #wanderlust,196740359,False,https://t.co/Qcpj4iCbDx,"{'followers_count': 2162, 'following_count': 1801, 'tweet_count': 2633, 'listed_count': 43}",False,1.5263803328738263e+18,thegreatclive,the world is my home,Clive TheGreat,https://pbs.twimg.com/profile_images/1146246108/image_normal.jpg,2010-09-29T20:13:57.000Z,
😇🐩🐈🦄🐣🐘🐇J'adore les animaux😉,1339130886667825152,False,,"{'followers_count': 595, 'following_count': 551, 'tweet_count': 1245, 'listed_count': 1}",False,,Laia5b,"Lyon, Frankreich",Laïa.bonnet,https://pbs.twimg.com/profile_images/1339131217917128704/KPpOjf0t_normal.jpg,2020-12-16T08:51:18.000Z,
"Football 
Rap",1530241871074807812,False,,"{'followers_count': 20, 'following_count': 240, 'tweet_count': 7, 'listed_count': 0}",False,1.535761418535977e+18,julien_doria,,Julien Doria,https://pbs.twimg.com/profile_images/1532090987769696257/WaLV6dEK_normal.jpg,2022-05-27T17:37:54.000Z,
"Lcdo: Comunicación Social #Fighter completamente sincero, Creo en lo que veo de lo contrario no existe. Conocidos Muchos amigos Zero...",933003254,False,,"{'followers_count': 2115, 'following_count': 4883, 'tweet_count': 21119, 'listed_count': 12}",False,1.0750457375017288e+18,vilfrankJoseC,"Barquisimeto, Venezuela",Vilfrank Colmenarez,https://pbs.twimg.com/profile_images/1531748570008850432/Oiz-jfV0_normal.jpg,2012-11-07T21:40:18.000Z,
SEMPER ALTIUS / Libertario,224306682,False,,"{'followers_count': 300, 'following_count': 2303, 'tweet_count': 8715, 'listed_count': 1}",False,,FdezdeP_Alvaro,"París, Francia",Álvaro 🇪🇺 🇺🇦,https://pbs.twimg.com/profile_images/1439216355958575104/vOj6D7lP_normal.jpg,2010-12-08T17:29:28.000Z,
Ex.ange gardien de personnalités . Telepilote de drone pro. 🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷 ➖Breton #bzh,1258981226,False,,"{'followers_count': 5631, 'following_count': 709, 'tweet_count': 36718, 'listed_count': 21}",False,,laf2_laf,"Rennes, France",chris laf,https://pbs.twimg.com/profile_images/1516850810696744967/VJOZupb4_normal.jpg,2013-03-11T09:00:19.000Z,
"Restaurant de spécialité libanaise 🇫🇷 🇱🇧
Paris, France depuis 1992
TRAITEUR, MEZZE, CHAWARMA, FALAFEL",1536014241211326465,False,,"{'followers_count': 1, 'following_count': 2, 'tweet_count': 2, 'listed_count': 0}",False,,Rannouchcity,"44 R. de Turbigo, 75003 Paris",RANNOUCH CITY,https://pbs.twimg.com/profile_images/1536014386388783105/v2I9MSkJ_normal.jpg,2022-06-12T15:55:41.000Z,
Official country committee of US Democrats in France. We promote and protect the rights of Americans to #VoteFromAbroad. https://t.co/TVkhehgWcT…,798574525,False,https://t.co/D1VgalDEvn,"{'followers_count': 2552, 'following_count': 1999, 'tweet_count': 7438, 'listed_count': 24}",False,1.5293981723800207e+18,DemsAbroadFR,France,Democrats Abroad France ☮️,https://pbs.twimg.com/profile_images/1166108891287117824/5NmpBZa3_normal.jpg,2012-09-02T16:13:53.000Z,
masryXfaransa,14700145,False,http://t.co/KW6XsPeG1u,"{'followers_count': 1790, 'following_count': 607, 'tweet_count': 32832, 'listed_count': 21}",False,,masryXfaransa,France,masryXfaransa,https://pbs.twimg.com/profile_images/1216604981765320705/bfupkwTt_normal.jpg,2008-05-08T13:26:26.000Z,
Freelance photographer.Hotel & Architectur - Greek National winner 2015 & finalist sortlist 2019 in Sony World Photography Awards!   My photos for purchase ⏬⏬,138497368,False,https://t.co/Yy0RcODGF5,"{'followers_count': 1162, 'following_count': 1482, 'tweet_count': 16103, 'listed_count': 81}",False,1.4677818450016788e+18,gpapapostolou21,,George Papapostolou,https://pbs.twimg.com/profile_images/1528460792051400706/qqBLds6-_normal.jpg,2010-04-29T18:22:00.000Z,
"concert 
musique 
littérature 
football

#non-violence     #patrimoine",1497594092011851777,False,,"{'followers_count': 639, 'following_count': 1376, 'tweet_count': 1601, 'listed_count': 0}",False,,LEGRAND948,"Strasbourg, France",Vincent Legrand,https://pbs.twimg.com/profile_images/1497695166446149637/L-CRHej__normal.jpg,2022-02-26T15:27:21.000Z,
"En nous tenant mutuellement éveillés, on réussira à les faire tomber...",1513374149544087552,False,,"{'followers_count': 9, 'following_count': 16, 'tweet_count': 382, 'listed_count': 0}",False,,JO_bserve,,Jo'bserve Ⓜ️,https://pbs.twimg.com/profile_images/1518243434942894081/NnCgg3zL_normal.jpg,2022-04-11T04:31:52.000Z,
hotass01 here! - love being yours ;-) #chaturbate 😍😍😍,1530935348439568384,False,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 28, 'listed_count': 0}",False,,hotass011,,hotass01,https://pbs.twimg.com/profile_images/1530935898002427904/h5ZxY_e0_normal.jpg,2022-05-29T15:33:38.000Z,
“Vires in Numeris”,3026552801,False,,"{'followers_count': 25, 'following_count': 366, 'tweet_count': 1609, 'listed_count': 0}",False,,kpg_consulting,Bulgarien,7O7Solutions,https://pbs.twimg.com/profile_images/1049033907444862977/UhzsoVQQ_normal.jpg,2015-02-09T14:57:05.000Z,
"Coiffeuse a domicile 💇🏾‍♀️
 Antillaise 🌴
 Brunoy 


RER D direction Melun",1342462479511793666,False,https://t.co/VK5lQejwnL,"{'followers_count': 122, 'following_count': 160, 'tweet_count': 751, 'listed_count': 0}",False,1.530890781719941e+18,Afro_Chiic,"Brunoy, France",Afro_Chiic,https://pbs.twimg.com/profile_images/1402358255578488832/BycTSZQf_normal.jpg,2020-12-25T13:29:47.000Z,
