id,name,created_at,url,description,profile_image_url,location,pinned_tweet_id,protected,username,verified
994734272,Parlement européen,2012-12-07T10:01:11.000Z,https://t.co/fJuSRUpyn8,"Siège du #ParlementEuropéen à #Strasbourg 
Sitz des Europäischen Parlaments in #Straßburg 
#UE #CoFoE #LAvenirVousAppartient #PlenPE https://t.co/tgfrvBJpbn",https://pbs.twimg.com/profile_images/1082201185719853056/2BJXAtks_normal.jpg,"Strasbourg, France",1525755820075515904,False,PEStrasbourg,True
1396012543890665472,Ana P.D.,2021-05-22T07:59:00.000Z,,"Ingénieure des textes

🇮🇨🇪🇸🇫🇷🇬🇧 























(🇩🇪🇮🇹🇰🇷)",https://pbs.twimg.com/profile_images/1446937572031205385/13uKOC74_normal.jpg,,,False,prietoana98,False
3427248795,Argentina 🦕,2015-08-17T03:46:04.000Z,,"Argentina es el octavo gigante del mundo, están compuestas por las historicas Provincias Unidas del Sur, su capital es Buenos Aires, desde espocas virreinales.",https://pbs.twimg.com/profile_images/1525294100727095297/gP5yzzTk_normal.jpg,"Pcia. de Neuquén, Argentina",1490027240670830592,False,JorgeJorgeggp,False
914564233341399040,Marilena Maragkou,2017-10-01T18:54:39.000Z,https://t.co/TcgAplwasA,,https://pbs.twimg.com/profile_images/1369966983970689025/NxeVkQ3n_normal.jpg,"Attika, Griechenland",,False,MarilenaMaragou,False
1330820129165357056,AfD Städteregion Aachen,2020-11-23T10:27:18.000Z,https://t.co/D2aAHhRQSO,"Twitter Account des Kreisverbandes Städteregion Aachen der Alternative für Deutschland
Diskurs ist gern gesehen, Beleidigungen und Polemik nicht",https://pbs.twimg.com/profile_images/1330820401761574918/lt2ZBoco_normal.jpg,"Städteregion Aachen, NRW",1517136358506041347,False,AfdAachen,False
610091125,Centro León RD,2012-06-16T15:56:53.000Z,http://t.co/rY6TpipDhE,Museo de arte moderno y contemporáneo,https://pbs.twimg.com/profile_images/1178789235215745026/bwKHAa4C_normal.jpg,"Santiago, Dominican Republic",,False,CentroLeonRD,False
1212767982071365632,pepita,2020-01-02T16:10:16.000Z,,,https://pbs.twimg.com/profile_images/1212768165756854275/iitXeo58_normal.jpg,,,False,pepita58844305,False
403644930,Gabriela Arboleda 🇪🇨,2011-11-02T19:56:44.000Z,,Solo vibras positivas en mi vida!,https://pbs.twimg.com/profile_images/1261856296887861248/f6_eg1fS_normal.jpg,Ecuador,1381939455293071367,False,gaby_arboleda,False
710040051653156864,Visit European Parliament,2016-03-16T09:48:35.000Z,https://t.co/BKexR47wSF,Are you visiting the European Parliament? 📷📸 Share your experience using #visitEP,https://pbs.twimg.com/profile_images/1123286616007741440/mv-arXrX_normal.jpg,,,False,visit_EP,True
1499786628432371712,Annie B-O,2022-03-04T16:39:58.000Z,,Marcheuse de la première heure #macron2022 #5ansdeplus,https://pbs.twimg.com/profile_images/1506718165358817293/SAf8V44W_normal.jpg,"Strasbourg, France",,False,annie_bodendahl,False
1502921009539821570,🇹🇷,2022-03-13T08:15:38.000Z,https://t.co/IyQgnE2UWK,𝗺𝗶𝘀𝗮𝗻𝘁𝗵𝗿𝗼𝗽𝗲 𝗮̀ 𝗺𝗲𝘀 𝗵𝗲𝘂𝗿𝗲𝘀 𝗽𝗲𝗿𝗱𝘂𝗲𝘀,https://pbs.twimg.com/profile_images/1525396089939144704/o-UpqN9m_normal.jpg,🚺.,1517622460354547712,False,ezumeji,False
720620428029509632,Ik,2016-04-14T14:31:13.000Z,,Hukuk öğrencisi ⚖️ Uluslar arası ilişkiler 🌐 Siyaset bilimi. Founder of @Anteskilati Member of @U_i_dyouth Member of @youthstationint,https://pbs.twimg.com/profile_images/1522505653318832128/a3MX7VSi_normal.jpg,,1519916997085212673,False,IIsmmaiil_,False
2663972603,OwlHunter,2014-07-02T13:23:48.000Z,https://t.co/cBYeiI0Kmb,"DM for requests! Big tits, Handjobs, cumshots and more. Promoting Pornstars, CamGirls and Sex workers. ***I do not own this content***",https://pbs.twimg.com/profile_images/1349219057174765569/0Nk8MQh-_normal.jpg,"Boston, Ma",1376970202227871744,False,creamcheesejs,False
461853577,EP Interpreters,2012-01-12T08:18:09.000Z,https://t.co/3bCWIOJ75U,"We are the interpreters of @Europarl_EN - the voice of the Parliament in all the 24 official languages of the EU.
#UnitedInDiversity",https://pbs.twimg.com/profile_images/1483343864404623361/fZeSDNSh_normal.png,Brussels,1499428181006336008,False,EP_Interpreters,False
332839229,Javier Varela/♥️ #yoapoyoalgobierno,2011-07-10T14:25:46.000Z,https://t.co/jug8EiNIDU,🌹Cada día me importa más lo menos importante.,https://pbs.twimg.com/profile_images/1462081064747380743/p0EJz1bU_normal.jpg,A Coruña,1497562281617547268,False,calleiro11,False
712623374829166593,金杉圭司老師,2016-03-23T12:53:47.000Z,,,https://pbs.twimg.com/profile_images/1469986742220451841/7XwSZ0In_normal.jpg,,731890188377415680,False,0226_1989,False
1247211322443513857,Kobra,2020-04-06T17:15:47.000Z,,"Probleme löst man, indem man spricht...nicht indem man aufhört, zu sprechen",https://pbs.twimg.com/profile_images/1465802567045324803/qA5qt2iA_normal.jpg,Österreich,,False,Kobra30408663,False
1223349492247945216,_viscous_,2020-01-31T20:57:12.000Z,,Jack of all Trades,https://pbs.twimg.com/profile_images/1231288374067171330/t7EPR6kL_normal.jpg,,1485200637583314946,False,viscous76482628,False
303415176,Rauch Benoit,2011-05-22T20:42:52.000Z,,"responsable technique @SCC_info, spécialiste IBM Power, Storage, z and IBM Cloud. 💉💉 💉🇨🇵 🇪🇺",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"Alsace, France",,False,benabarr,False
2463582956,AfD_Muenster,2014-04-25T19:05:39.000Z,https://t.co/oXkp78Kq9c,"Willkommen! | Weiterer Acc. freiwilliger #AfD #Münster-Unterstützer: https://t.co/4icl7tqK06 | Folgt auch @RichardMol_ , Direktkandidat zur LTWNRW in MS II",https://pbs.twimg.com/profile_images/1433463574224117762/eUgr5fPG_normal.jpg,Münster,1525620164540129281,False,AfD_Muenster,True
